Aix|(19200)|45.6167|2.38333
Aix|(59310)|50.4833|3.28333
Les aix-d'angillon|(18220)|47.2|2.56667
Aix-en-diois|(26150)|44.7167|5.41667
Aix-en-ergny|(62650)|50.5833|2
Aix-en-issart|(62170)|50.4833|1.85
Aix-en-othe|(10160)|48.2167|3.73333
Aix-en-provence|(13080-13090-13100-13290-13540)|43.5333|5.43333
Aix-la-fayette|(63980)|45.5167|3.53333
Aix-les-bains|(73100)|45.7|5.91667
Aix-noulette|(62160)|50.4167|2.7
Aixe-sur-vienne|(87700)|45.8|1.13333
Aizac|(07530)|44.7167|4.33333
Aizanville|(52120)|48.1|4.9
Aize|(36150)|47.1|1.7
Aizecourt-le-bas|(80240)|49.9667|3.05
Aizecourt-le-haut|(80200)|49.95|2.98333
Aizelles|(02820)|49.4833|3.81667
Aizenay|(85190)|46.7333|-1.61667
Aizier|(27500)|49.4333|0.633333
Aizy-jouy|(02370)|49.4348|3.51639
Ajac|(11300)|43.05|2.15
Ajaccio|(20000-20090)|41.9256|8.7364
Ajain|(23380)|46.2|2
Ajat|(24210)|45.15|1.01667
Ajoncourt|(57590)|48.85|6.3
Ajou|(27410)|48.9833|0.783333
Ajoupa-bouillon|(97216)|-61.1157|14.824
Ajoux|(07000)|44.7667|4.51667
Alaigne|(11240)|43.1167|2.1
Alaincourt|(02240)|49.75|3.36667
Alaincourt|(70210)|47.9333|6.1
Alaincourt-la-cote|(57590)|48.9|6.35
Alairac|(11290)|43.1833|2.25
Alan|(31420)|43.2167|0.95
Alando|(20212)|42.3064|9.29056
Alata|(20167)|41.977|8.74306
Alba-la-romaine|(07400)|44.555|4.59806
Alban|(81250)|43.9|2.46667
Albaret-le-comtal|(48310)|44.8667|3.15
Albaret-sainte-marie|(48200)|44.8833|3.26667
Albas|(11360)|43|2.73333
Albas|(46140)|44.4667|1.23333
Albe|(67220)|48.35|7.31667
Albefeuille-lagarde|(82290)|44.05|1.28333
Albens|(73410)|45.7833|5.95
Albepierre-bredons|(15300)|45.1|2.88333
Albert|(80300)|50|2.65
Albertacce|(20224)|42.3273|8.9839
Albertville|(73200)|45.6833|6.38333
Albestroff|(57670)|48.9333|6.85
Albi|(81990)|43.9333|2.15
Albiac|(31460)|43.552|1.78056
Albiac|(46500)|44.7667|1.81667
Albias|(82350)|44.0833|1.45
Albieres|(11330)|42.95|2.48333
Albies|(09310)|42.7667|1.7
Albiez-le-jeune|(73300)|45.2167|6.35
Albiez-montrond|(73300)|45.2167|6.33333
Albignac|(19190)|45.1333|1.68333
Albigny-sur-saone|(69250)|45.8167|4.45
Albine|(81240)|43.45|2.53333
Albitreccia|(20128)|41.8628|8.94195
Albon|(26140)|45.2333|4.86667
Albon-d'ardeche|(07190)|44.8214|4.42806
Alboussiere|(07440)|44.95|4.73333
Les albres|(12220)|44.55|2.16667
Albussac|(19380)|45.1333|1.83333
Alby-sur-cheran|(74540)|45.8167|6.02084
Alcay-alcabehety-sunharette|(64470)|43.095|-0.908889
Aldudes|(64430)|43.1|-1.43333
Alembon|(62850)|50.7833|1.88333
Alencon|(61000)|48.4333|0.083333
Alenya|(66200)|42.6333|2.98333
Aleria|(20270)|42.1142|9.51306
Ales|(30100)|44.1333|4.08333
Alet-les-bains|(11580)|43|2.26667
Alette|(62650)|50.5167|1.81667
Aleu|(09320)|42.9|1.26667
Alex|(74290)|45.8833|6.23333
Alexain|(53240)|48.2333|-0.766667
Aleyrac|(26770)|44.5|4.95
Alfortville|(94140)|48.8|2.41667
Algajola|(20220)|42.6078|8.86223
Algans|(81470)|43.6|1.88333
Algolsheim|(68600)|48|7.56667
Algrange|(57440)|49.35|6.05
Alieze|(39270)|46.5833|5.58333
Alignan-du-vent|(34290)|43.4667|3.35
Alincourt|(08310)|49.4|4.35
Alincthun|(62142)|50.7333|1.8
Alise-sainte-reine|(21150)|47.5333|4.48333
Alissas|(07210)|44.7167|4.61667
Alix|(69380)|45.9167|4.65
Alixan|(26300)|44.9667|5.03333
Alizay|(27460)|49.3167|1.18333
Allain|(54170)|48.55|5.91667
Allaines|(80200)|49.95|2.95
Allaines-mervilliers|(28310)|48.2048|1.82445
Allainville|(28500)|48.7167|1.3
Allainville|(78660)|48.4583|1.9
Allaire|(56350)|47.6333|-2.16667
Allamont|(54800)|49.1167|5.76667
Allamps|(54112)|48.55|5.81667
Allan|(26780)|44.4833|4.78333
Allanche|(15160)|45.2333|2.93333
Alland'huy-et-sausseuil|(08130)|49.5167|4.56667
Allarmont|(88110)|48.4833|7.01667
Allas-bocage|(17150)|45.3833|-0.483333
Allas-champagne|(17500)|45.4667|-0.333333
Allas-les-mines|(24220)|44.8333|1.06667
Allassac|(19240)|45.25|1.48333
Allauch|(13190)|43.3333|5.48333
Allegre|(43270)|45.2|3.7
Allegre-les-fumades|(30500)|44.2167|4.26667
Alleins|(13980)|43.7|5.16667
Allemagne-en-provence|(04550)|43.7833|6.01667
Allemanche-launay-et-soyer|(51260)|48.6045|3.78806
Allemans|(24600)|45.2875|0.309444
Allemans-du-dropt|(47800)|44.6333|0.283333
Allemant|(02320)|49.4667|3.45
Allemant|(51120)|48.7667|3.8
Allemond|(38114)|45.1303|6.03751
Allenay|(80530)|50.0833|1.5
Allenc|(48190)|44.5333|3.66667
Allenjoie|(25490)|47.5333|6.9
Allennes-les-marais|(59251)|50.5333|2.95
Allenwiller|(67310)|48.6667|7.38333
Allerey|(21230)|47.1895|4.43834
Allerey-sur-saone|(71350)|46.9059|4.98278
Alleriot|(71380)|46.8167|4.95
Allery|(80270)|49.9667|1.9
Alles-sur-dordogne|(24480)|44.85|0.866667
Les alleuds|(49320)|47.3167|-0.4
Les alleuds|(79190)|46.15|-0.00722222
Les alleux|(08400)|49.4667|4.73333
Alleuze|(15100)|44.95|3.1
